Time,Source,Destination,Protocol,Length
1757861981.827755,192.168.75.10,192.168.75.71,TCP,66
1757861981.828016,192.168.75.71,192.168.75.10,TCP,1514
1757861981.828016,192.168.75.71,192.168.75.10,TCP,1514
1757861981.828061,192.168.75.10,192.168.75.71,TCP,66
1757861981.82832,192.168.75.71,192.168.75.10,TCP,1514
1757861981.82832,192.168.75.71,192.168.75.10,TCP,1514
1757861981.828364,192.168.75.10,192.168.75.71,TCP,66
1757861981.828673,192.168.75.71,192.168.75.10,TCP,1514
1757861981.828673,192.168.75.71,192.168.75.10,TCP,1514
1757861981.828713,192.168.75.10,192.168.75.71,TCP,66
1757861981.829592,192.168.75.71,192.168.75.10,TCP,1514
1757861981.829636,192.168.75.10,192.168.75.71,TCP,66
1757861981.829891,192.168.75.71,192.168.75.10,TCP,1514
1757861981.829891,192.168.75.71,192.168.75.10,TCP,1514
1757861981.829936,192.168.75.10,192.168.75.71,TCP,66
1757861981.830306,192.168.75.71,192.168.75.10,TCP,1514
1757861981.830306,192.168.75.71,192.168.75.10,TCP,1514
1757861981.83035,192.168.75.10,192.168.75.71,TCP,66
1757861981.83077,192.168.75.71,192.168.75.10,TCP,1514
1757861981.83077,192.168.75.71,192.168.75.10,TCP,1514
1757861981.830834,192.168.75.10,192.168.75.71,TCP,66
1757861981.831349,192.168.75.71,192.168.75.10,TCP,1514
1757861981.831349,192.168.75.71,192.168.75.10,TCP,1514
1757861981.8314,192.168.75.10,192.168.75.71,TCP,66
1757861981.834382,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849627,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849627,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849741,192.168.75.10,192.168.75.71,TCP,66
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.849999,192.168.75.71,192.168.75.10,TCP,1514
1757861981.850157,192.168.75.10,192.168.75.71,TCP,66
1757861981.85046,192.168.75.71,192.168.75.10,TCP,1514
1757861981.85046,192.168.75.71,192.168.75.10,TCP,1514
1757861981.85046,192.168.75.71,192.168.75.10,TCP,1514
1757861981.85046,192.168.75.71,192.168.75.10,TCP,1514
1757861981.85046,192.168.75.71,192.168.75.10,TCP,1514
1757861981.85046,192.168.75.71,192.168.75.10,TCP,1514
1757861981.850533,192.168.75.10,192.168.75.71,TCP,66
1757861981.850626,192.168.75.71,192.168.75.10,TCP,1514
1757861981.850626,192.168.75.71,192.168.75.10,TCP,1514
1757861981.850666,192.168.75.10,192.168.75.71,TCP,66
1757861981.8511,192.168.75.71,192.168.75.10,TCP,1514
1757861981.8511,192.168.75.71,192.168.75.10,TCP,1514
1757861981.851156,192.168.75.10,192.168.75.71,TCP,66
1757861981.851359,192.168.75.71,192.168.75.10,TCP,1514
1757861981.851359,192.168.75.71,192.168.75.10,TCP,1514
1757861981.851408,192.168.75.10,192.168.75.71,TCP,66
1757861981.851708,192.168.75.71,192.168.75.10,TCP,1514
1757861981.851708,192.168.75.71,192.168.75.10,TCP,1514
1757861981.85175,192.168.75.10,192.168.75.71,TCP,66
1757861981.85201,192.168.75.71,192.168.75.10,TCP,1514
1757861981.85201,192.168.75.71,192.168.75.10,TCP,1514
1757861981.852047,192.168.75.10,192.168.75.71,TCP,66
